model,train_size,epochs,best_ser,best_epoch,best_pitch_acc,best_rhythm_acc,final_ser
crnn,1000,30,0.9484367370605469,28,0.0,0.007677122019231319,0.9492551684379578
crnn,5000,30,0.06711409240961075,26,0.9714078307151794,0.9728010296821594,0.06940579414367676
crnn,20000,30,0.00998526718467474,27,0.9995154142379761,0.9960517883300781,0.00998526718467474
crnn,50000,30,0.00016369290824513882,20,0.999757707118988,1.0,0.0037649369332939386
crnn,100000,29,0.0,22,1.0,1.0,0.00016369290824513882
vit,1000,30,1.0713701248168945,20,0.010661497712135315,0.28076332807540894,1.7682108879089355
vit,5000,30,0.8657718300819397,8,0.03683062642812729,0.32463258504867554,1.0366672277450562
vit,20000,30,0.8937633037567139,12,0.0024230675771832466,0.2851502597332001,0.9744638800621033
vit,50000,30,0.03175642341375351,28,0.9748001098632812,0.9820135831832886,0.031920116394758224
vit,100000,30,0.002946472493931651,22,0.9985461831092834,0.9978065490722656,0.0036012439522892237
